backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),decoder memory(MB),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ)
chronos-t5-tiny,mlp_chronostiny_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8271111111111111,16.789504,16.92416,56956.140625,489.074176,3308.098,3.871072354475657,50.43302388622222,0.0835888888888889
chronos-t5-tiny,mlp_chronostiny_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8271111111111111,16.789504,16.92416,56856.8203125,489.074176,3297.175,3.866804323143429,50.43302388622222,0.11517577777777778
chronos-t5-tiny,mlp_chronostiny_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8271111111111111,16.789504,16.92416,56663.7578125,489.074176,3294.103,3.8725293362405564,50.43302388622222,0.09239844444444445
chronos-t5-tiny,mlp_chronostiny_class,,,ecg5000,cuda:0,ecg classification,accuracy,0.8271111111111111,16.789504,16.92416,56663.7578125,489.074176,3294.103,3.9263383932643467,41.77868788622222,0.0779611111111111
papagei_s,mlp_papageis_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,9.845665908441312,23.242752,23.506432,14208.998046875,612.168192,752.25,8.820641599050383,98.23150829268293,0.3202926829268293
papagei_p,mlp_papageip_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,9.506168086354325,37.107712,37.371392,12072.8349609375,609.022464,686.959,5.520543214751453,94.27067629268294,0.236390243902439
papagei_s_svri,mlp_papageissvri_regression,,,PPG-data,cuda:0,Diastolic BP prediction,mae,10.891665947146532,37.107712,37.371392,12079.63671875,609.022464,701.622,5.537194903303937,94.27067629268294,0.31626829268292683
papageissvri,mlp_papageissvri_regression,,,PPG-data,cuda:0,diasbp,mae,10.891665947146532,20.068352,20.332032,12454.369140625,608.993792,706.326,6.318720003453697,95.05710829268293,0.2573658536585366
papagei_s_svri,mlp,,,PPG-data,cuda:0,diasbp,mae,10.891665947146532,20.068352,0.2636800000000008,12454.369140625,608.993792,706.326,11.420212931749298,45.05689912195122,0.4371219512195122
papageissvri,mlp,,,PPG-data,cuda:0,diasbp,mae,10.891665947146532,20.068352,0.2636800000000008,12454.369140625,608.993792,706.326,11.226927559550216,45.05689912195122,0.3578536585365854
papageissvri,mlp,,,PPG-data,cuda:0,diasbp,mae,10.891665947146532,20.068352,0.2636800000000008,12454.369140625,608.993792,706.326,11.292077913516906,45.05689912195122,0.43846341463414634
chronostiny,mlp,,,ecg5000,cuda:0,ecg classification,accuracy,0.8271111111111111,16.789504,0.13465599999999966,56663.7578125,489.074176,3294.103,3.9553970607121784,24.854527886222222,0.06140577777777778
chronostiny,mlp,,,ecg5000,cuda:0,ecg classification,accuracy,0.8271111111111111,16.789504,0.13465599999999966,56669.9296875,489.074176,3314.277,3.859962324195438,33.50886388622222,0.07334133333333334
momentsmall,mlp,,,ecg5000,cuda:0,ecg classification,accuracy,0.9257777777777778,151.835648,0.26572799999999575,43437.78515625,229.763072,2563.407,4.80060551876492,18.988031886222217,0.29644088888888886
